Year,Quarter,        Gross domestic product (in Millions)
1948,Q1,265742
1948,Q2,272567
1948,Q3,279196
1948,Q4,280366
1949,Q1,275034
1949,Q2,271351
1949,Q3,272889
1949,Q4,270627
1950,Q1,280828
1950,Q2,290383
1950,Q3,308153
1950,Q4,319945
1951,Q1,336000
1951,Q2,344090
1951,Q3,351385
1951,Q4,356178
1952,Q1,359820
1952,Q2,361030
1952,Q3,367701
1952,Q4,380812
1953,Q1,387980
1953,Q2,391749
1953,Q3,391171
1953,Q4,385970
1954,Q1,385345
1954,Q2,386121
1954,Q3,390996
1954,Q4,399734
1955,Q1,413073
1955,Q2,421532
1955,Q3,430221
1955,Q4,437092
1956,Q1,439746
1956,Q2,446010
1956,Q3,451191
1956,Q4,460463
1957,Q1,469779
1957,Q2,472025
1957,Q3,479490
1957,Q4,474864
1958,Q1,467540
1958,Q2,471978
1958,Q3,485841
1958,Q4,499555
1959,Q1,510330
1959,Q2,522653
1959,Q3,525034
1959,Q4,528600
1960,Q1,542648
1960,Q2,541080
1960,Q3,545604
1960,Q4,540197
1961,Q1,545018
1961,Q2,555545
1961,Q3,567664
1961,Q4,580612
1962,Q1,594013
1962,Q2,600366
1962,Q3,609027
1962,Q4,612280
1963,Q1,621672
1963,Q2,629752
1963,Q3,644444
1963,Q4,653938
1964,Q1,669822
1964,Q2,678674
1964,Q3,692031
1964,Q4,697319
1965,Q1,717790
1965,Q2,730191
1965,Q3,749323
1965,Q4,771857
1966,Q1,795734
1966,Q2,804981
1966,Q3,819638
1966,Q4,833302
1967,Q1,844170
1967,Q2,848983
1967,Q3,865233
1967,Q4,881439
1968,Q1,909387
1968,Q2,934344
1968,Q3,950825
1968,Q4,968030
1969,Q1,993337
1969,Q2,1009020
1969,Q3,1029956
1969,Q4,1038147
1970,Q1,1051200
1970,Q2,1067375
1970,Q3,1086059
1970,Q4,1088608
1971,Q1,1135156
1971,Q2,1156271
1971,Q3,1177675
1971,Q4,1190297
1972,Q1,1230609
1972,Q2,1266369
1972,Q3,1290566
1972,Q4,1328904
1973,Q1,1377490
1973,Q2,1413887
1973,Q3,1433838
1973,Q4,1476289
1974,Q1,1491209
1974,Q2,1530056
1974,Q3,1560026
1974,Q4,1599679
1975,Q1,1616116
1975,Q2,1651853
1975,Q3,1709820
1975,Q4,1761831
1976,Q1,1820487
1976,Q2,1852332
1976,Q3,1886558
1976,Q4,1934273
1977,Q1,1988648
1977,Q2,2055909
1977,Q3,2118473
1977,Q4,2164270
1978,Q1,2202760
1978,Q2,2331633
1978,Q3,2395053
1978,Q4,2476949
1979,Q1,2526610
1979,Q2,2591247
1979,Q3,2667565
1979,Q4,2723883
1980,Q1,2789842
1980,Q2,2797352
1980,Q3,2856483
1980,Q4,2985557
1981,Q1,3124206
1981,Q2,3162532
1981,Q3,3260609
1981,Q4,3280818
1982,Q1,3274302
1982,Q2,3331972
1982,Q3,3366322
1982,Q4,3402561
1983,Q1,3473413
1983,Q2,3578848
1983,Q3,3689179
1983,Q4,3794706
1984,Q1,3908054
1984,Q2,4009601
1984,Q3,4084250
1984,Q4,4148551
1985,Q1,4230168
1985,Q2,4294887
1985,Q3,4386773
1985,Q4,4444094
1986,Q1,4507894
1986,Q2,4545340
1986,Q3,4607669
1986,Q4,4657627
1987,Q1,4722156
1987,Q2,4806160
1987,Q3,4884555
1987,Q4,5007994
1988,Q1,5073372
1988,Q2,5190036
1988,Q3,5282835
1988,Q4,5399509
1989,Q1,5511253
1989,Q2,5612463
1989,Q3,5695365
1989,Q4,5747237
1990,Q1,5872701
1990,Q2,5960028
1990,Q3,6015116
1990,Q4,6004733
1991,Q1,6035178
1991,Q2,6126862
1991,Q3,6205937
1991,Q4,6264540
1992,Q1,6363102
1992,Q2,6470763
1992,Q3,6566641
1992,Q4,6680803
1993,Q1,6729459
1993,Q2,6808939
1993,Q3,6882098
1993,Q4,7013738
1994,Q1,7115652
1994,Q2,7246931
1994,Q3,7331075
1994,Q4,7455288
1995,Q1,7522289
1995,Q2,7580997
1995,Q3,7683125
1995,Q4,7772586
1996,Q1,7868468
1996,Q2,8032840
1996,Q3,8131408
1996,Q4,8259771
