Year,Period,Value
1948,Q01,3.3
1948,Q02,3.3
1948,Q03,3.3
1948,Q04,3.4
1949,Q01,4.1
1949,Q02,5.3
1949,Q03,6.1
1949,Q04,6.4
1950,Q01,5.8
1950,Q02,5.1
1950,Q03,4.2
1950,Q04,3.8
1951,Q01,3.2
1951,Q02,2.8
1951,Q03,2.8
1951,Q04,3
1952,Q01,2.7
1952,Q02,2.6
1952,Q03,2.8
1952,Q04,2.4
1953,Q01,2.4
1953,Q02,2.3
1953,Q03,2.4
1953,Q04,3.3
1954,Q01,4.7
1954,Q02,5.3
1954,Q03,5.5
1954,Q04,4.9
1955,Q01,4.3
1955,Q02,4
1955,Q03,3.7
1955,Q04,3.7
1956,Q01,3.6
1956,Q02,3.7
1956,Q03,3.7
1956,Q04,3.7
1957,Q01,3.5
1957,Q02,3.6
1957,Q03,3.7
1957,Q04,4.4
1958,Q01,5.7
1958,Q02,6.8
1958,Q03,6.7
1958,Q04,5.7
1959,Q01,5.3
1959,Q02,4.5
1959,Q03,4.6
1959,Q04,4.9
1960,Q01,4.5
1960,Q02,4.6
1960,Q03,4.9
1960,Q04,5.6
1961,Q01,6
1961,Q02,6.3
1961,Q03,5.9
1961,Q04,5.4
1962,Q01,4.9
1962,Q02,4.8
1962,Q03,4.9
1962,Q04,4.8
1963,Q01,5
1963,Q02,4.8
1963,Q03,4.6
1963,Q04,4.7
1964,Q01,4.6
1964,Q02,4.3
1964,Q03,4.1
1964,Q04,4.1
1965,Q01,4
1965,Q02,3.8
1965,Q03,3.5
1965,Q04,3.2
1966,Q01,3
1966,Q02,2.9
1966,Q03,2.9
1966,Q04,2.9
1967,Q01,3
1967,Q02,3
1967,Q03,2.9
1967,Q04,3.1
1968,Q01,2.9
1968,Q02,2.7
1968,Q03,2.7
1968,Q04,2.6
1969,Q01,2.6
1969,Q02,2.6
1969,Q03,2.7
1969,Q04,2.8
1970,Q01,3.3
1970,Q02,3.8
1970,Q03,4.2
1970,Q04,4.7
1971,Q01,4.9
1971,Q02,4.9
1971,Q03,4.9
1971,Q04,4.9
1972,Q01,4.6
1972,Q02,4.6
1972,Q03,4.5
1972,Q04,4.3
1973,Q01,4
1973,Q02,3.9
1973,Q03,3.8
1973,Q04,3.7
1974,Q01,4.1
1974,Q02,4.1
1974,Q03,4.5
1974,Q04,5.4
1975,Q01,7
1975,Q02,7.6
1975,Q03,7.3
1975,Q04,7.1
1976,Q01,6.6
1976,Q02,6.4
1976,Q03,6.6
1976,Q04,6.6
1977,Q01,6.4
1977,Q02,6
1977,Q03,5.8
1977,Q04,5.6
1978,Q01,5.2
1978,Q02,4.9
1978,Q03,4.9
1978,Q04,4.8
1979,Q01,4.8
1979,Q02,4.7
1979,Q03,4.8
1979,Q04,4.9
1980,Q01,5.3
1980,Q02,6.3
1980,Q03,6.6
1980,Q04,6.4
1981,Q01,6.3
1981,Q02,6.3
1981,Q03,6.4
1981,Q04,7.1
1982,Q01,7.7
1982,Q02,8.3
1982,Q03,8.8
1982,Q04,9.6
1983,Q01,9.4
1983,Q02,9
1983,Q03,8.3
1983,Q04,7.6
1984,Q01,7
1984,Q02,6.6
1984,Q03,6.6
1984,Q04,6.5
1985,Q01,6.4
1985,Q02,6.5
1985,Q03,6.4
1985,Q04,6.2
1986,Q01,6.2
1986,Q02,6.3
1986,Q03,6.2
1986,Q04,6
1987,Q01,5.8
1987,Q02,5.5
1987,Q03,5.3
1987,Q04,5.1
1988,Q01,5
1988,Q02,4.8
1988,Q03,4.8
1988,Q04,4.7
1989,Q01,4.5
1989,Q02,4.6
1989,Q03,4.6
1989,Q04,4.7
1990,Q01,4.7
1990,Q02,4.7
1990,Q03,5
1990,Q04,5.4
1991,Q01,5.9
1991,Q02,6.1
1991,Q03,6.1
1991,Q04,6.4
1992,Q01,6.6
1992,Q02,6.8
1992,Q03,6.9
1992,Q04,6.7
1993,Q01,6.4
1993,Q02,6.3
1993,Q03,6.1
1993,Q04,5.9
1994,Q01,5.9
1994,Q02,5.4
1994,Q03,5.3
1994,Q04,5
1995,Q01,4.8
1995,Q02,4.9
1995,Q03,4.9
1995,Q04,4.8
1996,Q01,4.8
1996,Q02,4.8
1996,Q03,4.6
1996,Q04,4.6
1997,Q01,4.5
1997,Q02,4.3
1997,Q03,4.2
1997,Q04,4.1
1998,Q01,4
1998,Q02,3.8
1998,Q03,3.9
1998,Q04,3.8
1999,Q01,3.6
1999,Q02,3.6
1999,Q03,3.6
1999,Q04,3.5
2000,Q01,3.5
2000,Q02,3.4
2000,Q03,3.5
2000,Q04,3.4
2001,Q01,3.7
2001,Q02,3.9
2001,Q03,4.2
2001,Q04,4.9
