,Year,Quarter,        Gross domestic product (in Millions)
0,1948,Q1,265742
1,1948,Q2,272567
2,1948,Q3,279196
3,1948,Q4,280366
4,1949,Q1,275034
5,1949,Q2,271351
6,1949,Q3,272889
7,1949,Q4,270627
8,1950,Q1,280828
9,1950,Q2,290383
10,1950,Q3,308153
11,1950,Q4,319945
12,1951,Q1,336000
13,1951,Q2,344090
14,1951,Q3,351385
15,1951,Q4,356178
16,1952,Q1,359820
17,1952,Q2,361030
18,1952,Q3,367701
19,1952,Q4,380812
20,1953,Q1,387980
21,1953,Q2,391749
22,1953,Q3,391171
23,1953,Q4,385970
24,1954,Q1,385345
25,1954,Q2,386121
26,1954,Q3,390996
27,1954,Q4,399734
28,1955,Q1,413073
29,1955,Q2,421532
30,1955,Q3,430221
31,1955,Q4,437092
32,1956,Q1,439746
33,1956,Q2,446010
34,1956,Q3,451191
35,1956,Q4,460463
36,1957,Q1,469779
37,1957,Q2,472025
38,1957,Q3,479490
39,1957,Q4,474864
40,1958,Q1,467540
41,1958,Q2,471978
42,1958,Q3,485841
43,1958,Q4,499555
44,1959,Q1,510330
45,1959,Q2,522653
46,1959,Q3,525034
47,1959,Q4,528600
48,1960,Q1,542648
49,1960,Q2,541080
50,1960,Q3,545604
51,1960,Q4,540197
52,1961,Q1,545018
53,1961,Q2,555545
54,1961,Q3,567664
55,1961,Q4,580612
56,1962,Q1,594013
57,1962,Q2,600366
58,1962,Q3,609027
59,1962,Q4,612280
60,1963,Q1,621672
61,1963,Q2,629752
62,1963,Q3,644444
63,1963,Q4,653938
64,1964,Q1,669822
65,1964,Q2,678674
66,1964,Q3,692031
67,1964,Q4,697319
68,1965,Q1,717790
69,1965,Q2,730191
70,1965,Q3,749323
71,1965,Q4,771857
72,1966,Q1,795734
73,1966,Q2,804981
74,1966,Q3,819638
75,1966,Q4,833302
76,1967,Q1,844170
77,1967,Q2,848983
78,1967,Q3,865233
79,1967,Q4,881439
80,1968,Q1,909387
81,1968,Q2,934344
82,1968,Q3,950825
83,1968,Q4,968030
84,1969,Q1,993337
85,1969,Q2,1009020
86,1969,Q3,1029956
87,1969,Q4,1038147
88,1970,Q1,1051200
89,1970,Q2,1067375
90,1970,Q3,1086059
91,1970,Q4,1088608
92,1971,Q1,1135156
93,1971,Q2,1156271
94,1971,Q3,1177675
95,1971,Q4,1190297
96,1972,Q1,1230609
97,1972,Q2,1266369
98,1972,Q3,1290566
99,1972,Q4,1328904
100,1973,Q1,1377490
101,1973,Q2,1413887
102,1973,Q3,1433838
103,1973,Q4,1476289
104,1974,Q1,1491209
105,1974,Q2,1530056
106,1974,Q3,1560026
107,1974,Q4,1599679
108,1975,Q1,1616116
109,1975,Q2,1651853
110,1975,Q3,1709820
111,1975,Q4,1761831
112,1976,Q1,1820487
113,1976,Q2,1852332
114,1976,Q3,1886558
115,1976,Q4,1934273
116,1977,Q1,1988648
117,1977,Q2,2055909
118,1977,Q3,2118473
119,1977,Q4,2164270
120,1978,Q1,2202760
121,1978,Q2,2331633
122,1978,Q3,2395053
123,1978,Q4,2476949
124,1979,Q1,2526610
125,1979,Q2,2591247
126,1979,Q3,2667565
