,Period,GDP in millions
0,1948Q1,265742
1,1948Q2,272567
2,1948Q3,279196
3,1948Q4,280366
4,1949Q1,275034
5,1949Q2,271351
6,1949Q3,272889
7,1949Q4,270627
8,1950Q1,280828
9,1950Q2,290383
10,1950Q3,308153
11,1950Q4,319945
12,1951Q1,336000
13,1951Q2,344090
14,1951Q3,351385
15,1951Q4,356178
16,1952Q1,359820
17,1952Q2,361030
18,1952Q3,367701
19,1952Q4,380812
20,1953Q1,387980
21,1953Q2,391749
22,1953Q3,391171
23,1953Q4,385970
24,1954Q1,385345
25,1954Q2,386121
26,1954Q3,390996
27,1954Q4,399734
28,1955Q1,413073
29,1955Q2,421532
30,1955Q3,430221
31,1955Q4,437092
32,1956Q1,439746
33,1956Q2,446010
34,1956Q3,451191
35,1956Q4,460463
36,1957Q1,469779
37,1957Q2,472025
38,1957Q3,479490
39,1957Q4,474864
40,1958Q1,467540
41,1958Q2,471978
42,1958Q3,485841
43,1958Q4,499555
44,1959Q1,510330
45,1959Q2,522653
46,1959Q3,525034
47,1959Q4,528600
48,1960Q1,542648
49,1960Q2,541080
50,1960Q3,545604
51,1960Q4,540197
52,1961Q1,545018
53,1961Q2,555545
54,1961Q3,567664
55,1961Q4,580612
56,1962Q1,594013
57,1962Q2,600366
58,1962Q3,609027
59,1962Q4,612280
60,1963Q1,621672
61,1963Q2,629752
62,1963Q3,644444
63,1963Q4,653938
64,1964Q1,669822
65,1964Q2,678674
66,1964Q3,692031
67,1964Q4,697319
68,1965Q1,717790
69,1965Q2,730191
70,1965Q3,749323
71,1965Q4,771857
72,1966Q1,795734
73,1966Q2,804981
74,1966Q3,819638
75,1966Q4,833302
76,1967Q1,844170
77,1967Q2,848983
78,1967Q3,865233
79,1967Q4,881439
80,1968Q1,909387
81,1968Q2,934344
82,1968Q3,950825
83,1968Q4,968030
84,1969Q1,993337
85,1969Q2,1009020
86,1969Q3,1029956
87,1969Q4,1038147
88,1970Q1,1051200
89,1970Q2,1067375
90,1970Q3,1086059
91,1970Q4,1088608
92,1971Q1,1135156
93,1971Q2,1156271
94,1971Q3,1177675
95,1971Q4,1190297
96,1972Q1,1230609
97,1972Q2,1266369
98,1972Q3,1290566
99,1972Q4,1328904
100,1973Q1,1377490
101,1973Q2,1413887
102,1973Q3,1433838
103,1973Q4,1476289
104,1974Q1,1491209
105,1974Q2,1530056
106,1974Q3,1560026
107,1974Q4,1599679
108,1975Q1,1616116
109,1975Q2,1651853
110,1975Q3,1709820
111,1975Q4,1761831
112,1976Q1,1820487
113,1976Q2,1852332
114,1976Q3,1886558
115,1976Q4,1934273
116,1977Q1,1988648
117,1977Q2,2055909
118,1977Q3,2118473
119,1977Q4,2164270
120,1978Q1,2202760
121,1978Q2,2331633
122,1978Q3,2395053
123,1978Q4,2476949
124,1979Q1,2526610
125,1979Q2,2591247
126,1979Q3,2667565
127,1979Q4,2723883
128,1980Q1,2789842
129,1980Q2,2797352
130,1980Q3,2856483
131,1980Q4,2985557
132,1981Q1,3124206
133,1981Q2,3162532
134,1981Q3,3260609
135,1981Q4,3280818
136,1982Q1,3274302
137,1982Q2,3331972
138,1982Q3,3366322
