date,unemployment_rate,date
1/1/1948,3.3,1/1/1948
4/1/1948,3.3,4/1/1948
7/1/1948,3.3,7/1/1948
10/1/1948,3.4,10/1/1948
1/1/1949,4.1,1/1/1949
4/1/1949,5.3,4/1/1949
7/1/1949,6.1,7/1/1949
10/1/1949,6.4,10/1/1949
1/1/1950,5.8,1/1/1950
4/1/1950,5.1,4/1/1950
7/1/1950,4.2,7/1/1950
10/1/1950,3.8,10/1/1950
1/1/1951,3.2,1/1/1951
4/1/1951,2.8,4/1/1951
7/1/1951,2.8,7/1/1951
10/1/1951,3,10/1/1951
1/1/1952,2.7,1/1/1952
4/1/1952,2.6,4/1/1952
7/1/1952,2.8,7/1/1952
10/1/1952,2.4,10/1/1952
1/1/1953,2.4,1/1/1953
4/1/1953,2.3,4/1/1953
7/1/1953,2.4,7/1/1953
10/1/1953,3.3,10/1/1953
1/1/1954,4.7,1/1/1954
4/1/1954,5.3,4/1/1954
7/1/1954,5.5,7/1/1954
10/1/1954,4.9,10/1/1954
1/1/1955,4.3,1/1/1955
4/1/1955,4,4/1/1955
7/1/1955,3.7,7/1/1955
10/1/1955,3.7,10/1/1955
1/1/1956,3.6,1/1/1956
4/1/1956,3.7,4/1/1956
7/1/1956,3.7,7/1/1956
10/1/1956,3.7,10/1/1956
1/1/1957,3.5,1/1/1957
4/1/1957,3.6,4/1/1957
7/1/1957,3.7,7/1/1957
10/1/1957,4.4,10/1/1957
1/1/1958,5.7,1/1/1958
4/1/1958,6.8,4/1/1958
7/1/1958,6.7,7/1/1958
10/1/1958,5.7,10/1/1958
1/1/1959,5.3,1/1/1959
4/1/1959,4.5,4/1/1959
7/1/1959,4.6,7/1/1959
10/1/1959,4.9,10/1/1959
1/1/1960,4.5,1/1/1960
4/1/1960,4.6,4/1/1960
7/1/1960,4.9,7/1/1960
10/1/1960,5.6,10/1/1960
1/1/1961,6,1/1/1961
4/1/1961,6.3,4/1/1961
7/1/1961,5.9,7/1/1961
10/1/1961,5.4,10/1/1961
1/1/1962,4.9,1/1/1962
4/1/1962,4.8,4/1/1962
7/1/1962,4.9,7/1/1962
10/1/1962,4.8,10/1/1962
1/1/1963,5,1/1/1963
4/1/1963,4.8,4/1/1963
7/1/1963,4.6,7/1/1963
10/1/1963,4.7,10/1/1963
1/1/1964,4.6,1/1/1964
4/1/1964,4.3,4/1/1964
7/1/1964,4.1,7/1/1964
10/1/1964,4.1,10/1/1964
1/1/1965,4,1/1/1965
4/1/1965,3.8,4/1/1965
7/1/1965,3.5,7/1/1965
10/1/1965,3.2,10/1/1965
1/1/1966,3,1/1/1966
4/1/1966,2.9,4/1/1966
7/1/1966,2.9,7/1/1966
10/1/1966,2.9,10/1/1966
1/1/1967,3,1/1/1967
4/1/1967,3,4/1/1967
7/1/1967,2.9,7/1/1967
10/1/1967,3.1,10/1/1967
1/1/1968,2.9,1/1/1968
4/1/1968,2.7,4/1/1968
7/1/1968,2.7,7/1/1968
10/1/1968,2.6,10/1/1968
1/1/1969,2.6,1/1/1969
4/1/1969,2.6,4/1/1969
7/1/1969,2.7,7/1/1969
10/1/1969,2.8,10/1/1969
1/1/1970,3.3,1/1/1970
4/1/1970,3.8,4/1/1970
7/1/1970,4.2,7/1/1970
10/1/1970,4.7,10/1/1970
1/1/1971,4.9,1/1/1971
4/1/1971,4.9,4/1/1971
7/1/1971,4.9,7/1/1971
10/1/1971,4.9,10/1/1971
1/1/1972,4.6,1/1/1972
4/1/1972,4.6,4/1/1972
7/1/1972,4.5,7/1/1972
10/1/1972,4.3,10/1/1972
1/1/1973,4,1/1/1973
4/1/1973,3.9,4/1/1973
7/1/1973,3.8,7/1/1973
10/1/1973,3.7,10/1/1973
1/1/1974,4.1,1/1/1974
4/1/1974,4.1,4/1/1974
7/1/1974,4.5,7/1/1974
10/1/1974,5.4,10/1/1974
1/1/1975,7,1/1/1975
4/1/1975,7.6,4/1/1975
7/1/1975,7.3,7/1/1975
10/1/1975,7.1,10/1/1975
1/1/1976,6.6,1/1/1976
4/1/1976,6.4,4/1/1976
7/1/1976,6.6,7/1/1976
10/1/1976,6.6,10/1/1976
1/1/1977,6.4,1/1/1977
4/1/1977,6,4/1/1977
7/1/1977,5.8,7/1/1977
10/1/1977,5.6,10/1/1977
1/1/1978,5.2,1/1/1978
4/1/1978,4.9,4/1/1978
7/1/1978,4.9,7/1/1978
10/1/1978,4.8,10/1/1978
1/1/1979,4.8,1/1/1979
4/1/1979,4.7,4/1/1979
7/1/1979,4.8,7/1/1979
10/1/1979,4.9,10/1/1979
1/1/1980,5.3,1/1/1980
4/1/1980,6.3,4/1/1980
7/1/1980,6.6,7/1/1980
10/1/1980,6.4,10/1/1980
1/1/1981,6.3,1/1/1981
4/1/1981,6.3,4/1/1981
7/1/1981,6.4,7/1/1981
10/1/1981,7.1,10/1/1981
1/1/1982,7.7,1/1/1982
4/1/1982,8.3,4/1/1982
7/1/1982,8.8,7/1/1982
10/1/1982,9.6,10/1/1982
1/1/1983,9.4,1/1/1983
4/1/1983,9,4/1/1983
7/1/1983,8.3,7/1/1983
10/1/1983,7.6,10/1/1983
1/1/1984,7,1/1/1984
4/1/1984,6.6,4/1/1984
7/1/1984,6.6,7/1/1984
10/1/1984,6.5,10/1/1984
1/1/1985,6.4,1/1/1985
4/1/1985,6.5,4/1/1985
7/1/1985,6.4,7/1/1985
10/1/1985,6.2,10/1/1985
1/1/1986,6.2,1/1/1986
4/1/1986,6.3,4/1/1986
7/1/1986,6.2,7/1/1986
10/1/1986,6,10/1/1986
1/1/1987,5.8,1/1/1987
4/1/1987,5.5,4/1/1987
7/1/1987,5.3,7/1/1987
10/1/1987,5.1,10/1/1987
1/1/1988,5,1/1/1988
4/1/1988,4.8,4/1/1988
7/1/1988,4.8,7/1/1988
10/1/1988,4.7,10/1/1988
1/1/1989,4.5,1/1/1989
4/1/1989,4.6,4/1/1989
7/1/1989,4.6,7/1/1989
10/1/1989,4.7,10/1/1989
1/1/1990,4.7,1/1/1990
4/1/1990,4.7,4/1/1990
7/1/1990,5,7/1/1990
10/1/1990,5.4,10/1/1990
1/1/1991,5.9,1/1/1991
4/1/1991,6.1,4/1/1991
7/1/1991,6.1,7/1/1991
10/1/1991,6.4,10/1/1991
1/1/1992,6.6,1/1/1992
4/1/1992,6.8,4/1/1992
7/1/1992,6.9,7/1/1992
10/1/1992,6.7,10/1/1992
1/1/1993,6.4,1/1/1993
4/1/1993,6.3,4/1/1993
7/1/1993,6.1,7/1/1993
10/1/1993,5.9,10/1/1993
1/1/1994,5.9,1/1/1994
4/1/1994,5.4,4/1/1994
7/1/1994,5.3,7/1/1994
10/1/1994,5,10/1/1994
1/1/1995,4.8,1/1/1995
4/1/1995,4.9,4/1/1995
7/1/1995,4.9,7/1/1995
10/1/1995,4.8,10/1/1995
1/1/1996,4.8,1/1/1996
4/1/1996,4.8,4/1/1996
7/1/1996,4.6,7/1/1996
10/1/1996,4.6,10/1/1996
1/1/1997,4.5,1/1/1997
4/1/1997,4.3,4/1/1997
7/1/1997,4.2,7/1/1997
10/1/1997,4.1,10/1/1997
1/1/1998,4,1/1/1998
4/1/1998,3.8,4/1/1998
7/1/1998,3.9,7/1/1998
10/1/1998,3.8,10/1/1998
1/1/1999,3.6,1/1/1999
4/1/1999,3.6,4/1/1999
7/1/1999,3.6,7/1/1999
10/1/1999,3.5,10/1/1999
1/1/2000,3.5,1/1/2000
4/1/2000,3.4,4/1/2000
7/1/2000,3.5,7/1/2000
10/1/2000,3.4,10/1/2000
1/1/2001,3.7,1/1/2001
4/1/2001,3.9,4/1/2001
7/1/2001,4.2,7/1/2001
10/1/2001,4.9,10/1/2001
1/1/2002,5.1,1/1/2002
4/1/2002,5.2,4/1/2002
7/1/2002,5.1,7/1/2002
10/1/2002,5.3,10/1/2002
1/1/2003,5.3,1/1/2003
4/1/2003,5.5,4/1/2003
7/1/2003,5.5,7/1/2003
10/1/2003,5.3,10/1/2003
1/1/2004,5.1,1/1/2004
4/1/2004,5,4/1/2004
7/1/2004,4.8,7/1/2004
10/1/2004,4.8,10/1/2004
1/1/2005,4.7,1/1/2005
4/1/2005,4.5,4/1/2005
7/1/2005,4.4,7/1/2005
10/1/2005,4.4,10/1/2005
1/1/2006,4.2,1/1/2006
4/1/2006,4.1,4/1/2006
7/1/2006,4.1,7/1/2006
10/1/2006,3.9,10/1/2006
1/1/2007,4,1/1/2007
4/1/2007,3.9,4/1/2007
7/1/2007,4.1,7/1/2007
10/1/2007,4.3,10/1/2007
1/1/2008,4.4,1/1/2008
